id,argument,result
1,0.1681,0.16731
4,5.31642,-0.823055
6,4.15485,-0.848557
9,3.10481,0.0367723
11,1.72938,0.987451
13,2.06999,0.877968
15,5.76289,-0.497135
17,5.62191,-0.614125
18,3.10152,0.0400666
21,3.5253,-0.374361
24,4.55104,-0.987012
27,5.03524,-0.948334
29,5.08719,-0.930579
32,0.86649,0.762061
34,5.71241,-0.540281
36,1.29442,0.962051
48,6.14223,-0.140487
54,2.86717,0.270995
55,4.87264,-0.987187
56,2.03715,0.893215
58,5.43599,-0.749428
59,3.85123,-0.651558
61,3.20818,-0.0665357
63,6.06027,-0.221075
64,5.04598,-0.944872
65,5.6183,-0.616968
67,1.553,0.999842
69,4.98088,-0.964173
71,0.0971922,0.0970392
72,0.71634,0.656629
75,1.4939,0.997045
77,1.21692,0.938037
79,3.48711,-0.338688
86,1.45189,0.992939
88,6.02128,-0.258917
89,2.84681,0.290533
92,5.69967,-0.550957
95,1.02342,0.853894
97,6.26401,-0.0191733
99,4.90008,-0.982438
100,1.09776,0.89019
102,0.0420496,0.0420372
103,5.4416,-0.745697
105,6.08797,-0.193978
106,3.65881,-0.494464
108,4.16464,-0.853697
110,6.26924,-0.013941
112,3.99123,-0.751042
114,2.41109,0.667245
116,2.47491,0.618386
118,2.86806,0.270139
120,4.67694,-0.999372
123,5.49094,-0.711929
125,5.99555,-0.283689
127,5.44094,-0.746138
130,3.97086,-0.737435
134,2.20277,0.806861
136,5.52756,-0.685746
139,4.55636,-0.987851
143,3.4278,-0.282312
150,1.45038,0.992759
152,4.24118,-0.891021
155,5.69291,-0.556592
156,4.02021,-0.769857
158,3.66433,-0.499255
164,5.60911,-0.624177
166,1.65136,0.996757
169,2.34356,0.715983
172,4.08407,-0.809017
173,2.17219,0.82455
175,1.45087,0.992818
178,0.42003,0.407788
195,0.731281,0.667824
196,2.54313,0.563372
197,0.564493,0.534988
198,4.5114,-0.979869
199,0.148683,0.148136
200,1.75947,0.982255
201,5.82541,-0.441953
202,5.91307,-0.361726
203,5.22601,-0.870969
204,1.6094,0.999255
205,0.602843,0.566987
206,2.3521,0.709995
207,2.87343,0.264963
209,4.62241,-0.995955
210,1.49897,0.997422
211,1.92021,0.939573
213,1.53013,0.999173
214,1.88888,0.949835
216,5.188,-0.889013
217,0.125711,0.12538
218,1.56134,0.999955
221,3.38641,-0.242377
223,0.553406,0.525588
227,1.06981,0.877109
229,3.56574,-0.411542
232,1.65322,0.996605
236,1.46193,0.99408
238,2.80175,0.333339
246,0.262925,0.259906
247,1.54546,0.999679
248,2.30788,0.740434
249,4.2828,-0.909137
251,0.475493,0.457777
253,3.7042,-0.533394
255,1.67733,0.994331
258,1.91744,0.940519
269,2.25271,0.77637
270,0.693295,0.639075
271,5.97743,-0.301014
272,0.126986,0.126645
273,3.14653,-0.0049396
274,5.68886,-0.559948
275,2.21399,0.800185
289,4.71408,-0.999999
296,1.47522,0.995436
298,1.51006,0.998156
300,5.79403,-0.469884
302,4.59915,-0.993595
303,5.65254,-0.589662
304,4.46519,-0.969602
305,0.54546,0.518811
306,0.81618,0.728534
307,3.3011,-0.158834
308,2.99558,0.145495
309,5.56178,-0.660438
310,1.71477,0.989654
315,0.519738,0.496653
329,5.44085,-0.746202
334,0.95936,0.818824
342,5.84963,-0.420101
344,5.53306,-0.681733
346,4.21574,-0.879184
354,0.85612,0.755305
355,1.80481,0.972743
356,3.5332,-0.381678
360,4.68174,-0.99953
362,3.20725,-0.0656117
365,4.65403,-0.998298
366,5.79142,-0.472179
367,2.05059,0.887089
368,5.9321,-0.343916
370,6.27791,-0.005278
372,2.41526,0.66413
374,3.41227,-0.267383
376,3.56996,-0.415384
378,6.22507,-0.0580835
380,3.85684,-0.655805
382,2.79583,0.338911
388,2.01846,0.901463
391,1.82013,0.969077
394,0.119773,0.119487
397,3.94568,-0.720197
399,2.22333,0.794549
401,1.98465,0.915576
403,6.26922,-0.0139603
405,4.927,-0.977059
407,3.81953,-0.627187
409,4.42057,-0.957723
412,1.81883,0.969397
414,0.35713,0.349586
416,4.17062,-0.856798
429,4.72169,-0.999957
433,3.58906,-0.432686
