id,argument,result
2,58.2194,7.63017
3,42.2994,6.5038
5,39.4092,6.27768
7,73.2615,8.55929
8,2.62335,1.61968
10,60.2191,7.7601
12,84.7249,9.20461
14,13.9873,3.73996
16,10.4855,3.23814
19,66.1611,8.13395
20,61.9169,7.86873
22,61.7469,7.85792
25,86.3591,9.29296
26,21.8289,4.67214
28,74.2231,8.61528
31,28.4558,5.3344
33,48.1206,6.9369
37,36.3636,6.03022
38,69.4971,8.33649
39,62.3401,7.89557
40,9.88659,3.1443
41,13.507,3.67519
42,65.9526,8.12112
43,9.09144,3.0152
44,39.9699,6.32218
45,8.34266,2.88837
46,46.2816,6.80306
47,62.6691,7.91638
49,59.1215,7.68905
50,16.5207,4.06456
51,69.0924,8.31218
52,86.9796,9.32629
53,32.0244,5.65901
57,53.7085,7.32861
68,84.6723,9.20175
74,67.4378,8.21205
76,27.4786,5.242
81,27.8544,5.27773
83,2.9042,1.70417
84,57.1657,7.5608
87,86.3419,9.29203
91,33.6,5.79655
93,60.4699,7.77624
96,86.3917,9.29471
107,28.4829,5.33694
109,35.7161,5.97629
111,98.2372,9.91147
113,28.798,5.36637
115,45.6892,6.75938
117,93.7195,9.68088
119,75.7955,8.70606
122,58.564,7.65271
124,61.8417,7.86395
128,86.9042,9.32224
131,89.2017,9.44467
132,27.4705,5.24123
135,53.4699,7.31231
137,81.9701,9.05374
140,68.2116,8.25903
141,63.5341,7.97083
144,55.8697,7.4746
145,8.96882,2.9948
147,11.0897,3.33013
149,81.5754,9.03191
153,78.3262,8.85021
161,26.4299,5.14101
162,57.741,7.59875
163,97.1547,9.85671
165,87.5761,9.35821
168,95.4772,9.77124
170,4.5486,2.13274
174,95.2476,9.75949
176,77.8792,8.82492
179,18.4231,4.29222
181,8.78704,2.96429
182,4.00478,2.00119
183,78.1789,8.84188
184,3.7726,1.94232
185,18.6529,4.3189
186,48.0847,6.93432
187,7.55992,2.74953
188,53.9813,7.3472
189,32.9366,5.73904
190,89.4237,9.45641
191,72.1367,8.49333
192,36.4808,6.03993
193,6.84539,2.61637
194,87.8105,9.37073
220,52.4916,7.24511
222,73.2471,8.55845
225,16.9096,4.11212
228,58.7622,7.66565
230,5.19278,2.27877
233,25.3898,5.03883
234,4.00936,2.00234
237,21.9901,4.68936
240,6.96982,2.64004
241,93.4127,9.66503
243,91.2617,9.5531
244,5.31857,2.3062
250,65.9791,8.12275
252,60.5058,7.77855
254,88.4722,9.40597
256,18.7506,4.3302
257,85.1718,9.22886
262,91.3957,9.56011
264,32.0741,5.6634
266,46.5462,6.82248
267,96.6289,9.83
277,7.85821,2.80325
279,0.164554,0.405653
281,65.7912,8.11118
282,59.9854,7.74502
285,78.2207,8.84424
287,99.7664,9.98831
288,16.3452,4.04291
290,17.6827,4.20508
319,91.3422,9.55731
321,33.0803,5.75155
323,89.7795,9.4752
324,4.99411,2.23475
326,26.2799,5.12639
327,49.8863,7.06302
331,2.0677,1.43795
333,92.3508,9.60993
335,81.7511,9.04163
336,43.538,6.59833
338,95.3507,9.76477
340,57.1193,7.55773
358,6.79111,2.60598
361,85.0545,9.2225
364,97.7567,9.8872
369,69.3236,8.32608
371,32.0045,5.65725
373,69.3678,8.32873
375,51.2155,7.1565
379,39.1402,6.25621
381,43.6648,6.60793
384,45.4958,6.74505
393,7.4376,2.7272
395,71.5748,8.46019
398,19.2878,4.39179
400,83.9501,9.16243
402,12.573,3.54585
404,37.0779,6.08916
406,12.1812,3.49016
408,87.1887,9.33749
411,96.1342,9.8048
413,47.7352,6.90906
418,60.7655,7.79522
419,84.5335,9.19421
420,82.111,9.06151
421,97.3168,9.86493
422,50.9345,7.13684
423,29.9186,5.46979
425,16.3557,4.04422
427,2.54355,1.59485
428,22.6739,4.76171
430,96.3062,9.81357
432,26.4013,5.13822
434,93.5683,9.67307
437,56.0914,7.48942
439,19.341,4.39785
443,20.3299,4.50887
445,88.2307,9.39312
448,74.3437,8.62228
451,36.0852,6.0071
453,1.80745,1.34442
455,63.8933,7.99333
476,34.6365,5.88527
478,35.159,5.9295
481,49.2307,7.01646
483,71.2013,8.43808
485,69.2602,8.32227
487,71.1556,8.43538
495,50.5744,7.11157
497,32.2722,5.68086
499,24.5651,4.95632
501,26.4448,5.14245
503,44.2193,6.64976
505,51.1694,7.15328
507,30.9368,5.56209
509,49.4001,7.02852
512,79.9966,8.94408
516,46.2358,6.79969
519,76.5918,8.75167
521,0.215674,0.464407
525,46.3403,6.80737
527,49.5839,7.04158
532,18.9733,4.35584
534,82.0496,9.05813
535,67.6503,8.22498
540,52.3074,7.23239
543,42.6405,6.52997
546,39.6538,6.29712
548,13.7714,3.71098
549,72.2462,8.49978
551,42.039,6.48375
553,19.1177,4.37238
554,77.1073,8.78108
556,40.2692,6.3458
558,67.5634,8.21969
560,68.7628,8.29233
562,18.0882,4.25302
564,12.8522,3.585
567,10.854,3.29454
568,32.3591,5.68851
570,22.7295,4.76755
573,90.6683,9.52199
575,29.6648,5.44654
578,86.4383,9.29722
581,2.31092,1.52017
585,36.786,6.06515
588,87.5833,9.3586
589,77.1205,8.78183
592,97.0819,9.85301
594,63.631,7.9769
596,91.0327,9.5411
599,51.8043,7.19752
600,26.4222,5.14025
602,67.0597,8.189
604,3.47876,1.86514
605,69.0577,8.3101
607,71.5246,8.45722
612,22.0575,4.69654
614,87.4483,9.35138
617,83.3042,9.12711
619,99.8826,9.99413
623,46.4116,6.8126
624,44.6025,6.67851
628,83.8369,9.15625
630,78.3893,8.85377
633,29.1269,5.39693
635,86.4246,9.29648
637,51.9815,7.20982
640,48.6992,6.97848
642,3.71161,1.92655
646,41.9238,6.47486
649,97.3143,9.8648
652,47.9146,6.92203
654,94.6865,9.7307
670,44.747,6.68932
674,8.11281,2.8483
677,37.3216,6.10914
680,32.6498,5.714
682,28.1765,5.30816
684,18.5651,4.30872
685,99.4742,9.97367
686,95.2284,9.75851
688,23.9766,4.89659
690,34.0484,5.8351
692,33.59,5.79568
695,86.2217,9.28556
696,31.0158,5.56919
699,73.8734,8.59496
701,2.07178,1.43937
702,61.7403,7.8575
739,87.7714,9.36864
742,58.1147,7.6233
743,62.079,7.87902
747,31.0086,5.56853
752,38.6917,6.22027
756,27.3503,5.22975
759,87.2661,9.34163
761,21.1445,4.59832
763,52.3526,7.23551
766,7.55016,2.74776
769,46.7743,6.83917
772,0.579827,0.761464
775,0.854282,0.924274
777,89.9381,9.48357
780,46.8571,6.84523
782,66.5065,8.15515
786,26.4436,5.14233
789,3.11585,1.76518
792,82.1398,9.0631
794,70.3843,8.38954
797,43.6673,6.60812
800,68.5787,8.28123
809,19.9501,4.46655
812,1.60977,1.26877
815,19.7649,4.44577
817,76.5198,8.74756
819,48.775,6.98391
822,51.6802,7.18889
824,75.3721,8.68171
826,62.9083,7.93148
828,58.5443,7.65143
832,31.1737,5.58334
833,97.0458,9.85118
835,40.5855,6.37068
837,62.4765,7.90421
839,38.5052,6.20526
842,54.0631,7.35276
845,52.3758,7.23712
846,20.5159,4.52945
847,32.2564,5.67947
848,53.4633,7.31186
849,13.2146,3.63519
850,58.073,7.62057
853,98.8517,9.94242
854,56.5379,7.51917
857,83.6449,9.14576
858,30.4317,5.5165
860,25.6278,5.06239
863,28.9051,5.37635
865,28.6813,5.3555
876,38.2435,6.18414
878,86.9164,9.3229
880,2.34009,1.52974
882,5.38068,2.31963
884,90.3278,9.50409
886,0.800077,0.89447
887,47.1327,6.86533
889,16.2119,4.0264
890,93.8311,9.68665
892,31.6478,5.62564
895,57.8317,7.60472
898,46.9303,6.85057
899,18.7682,4.33223
902,99.157,9.95776
904,95.5509,9.77502
908,6.37281,2.52444
910,16.6024,4.07461
913,56.5658,7.52103
916,43.9732,6.63123
918,14.2179,3.77066
921,17.566,4.19118
922,36.4768,6.03961
923,37.6372,6.13492
924,17.7187,4.20936
925,40.5343,6.36666
926,68.1027,8.25244
927,38.1263,6.17465
928,9.57505,3.09436
932,13.4866,3.67242
933,81.3828,9.02124
934,77.4534,8.80076
936,61.2364,7.82537
937,3.7035,1.92445
